Name,Type,Parent Object,Description,IsParent,Associated Parent
AngleValueCommandInput.manipulatorOrigin,Property,AngleValueCommandInput,gets the origin point of the manipulator in the model space of the root component to set the origin use the setmanipulator methoddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.manipulatorXDirection,Property,AngleValueCommandInput,gets the x direction of the manipulator in the model space of the root component the x direction is the 0 angle direction this direction along with the y direction vector define the plane that the manipulator is displayed on to set the direction use the setmanipulator methoddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.manipulatorYDirection,Property,AngleValueCommandInput,gets the y direction of the manipulator in the model space of the root component the x and y direction vectors define the plane that the manipulator is displayed on to set the direction use the setmanipulator methoddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.maximumValue,Property,AngleValueCommandInput,gets and sets maximum value if any that the value can be the value is in radians when getting this property you should first check the hasmaximumvalue property to see if this property applies also the ismaximumvalueinclusive indicates if the minimum includes this value or will be up to this value setting this value will change the ismaximumvalueinclusive to true and the hasmaximumvalue property to true if hasmaximumvalue is currently false otherwise it will just update the valuedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.minimumValue,Property,AngleValueCommandInput,gets and sets minimum value if any that the value can be the value is in radians when getting this property you should first check the hasminimumvalue property to see if this property applies also the isminimumvalueinclusive indicates if the minimum includes this value or will be up to this value setting this value will change the isminimumvalueinclusive to true and the hasminimumvalue property to true if hasminimumvalue is currently false otherwise it will just update the valuedefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.name,Property,AngleValueCommandInput,gets the user visible name of this inputdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.objectType,Property,AngleValueCommandInput,returns a string indicating the type of the objectdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.parentCommand,Property,AngleValueCommandInput,gets the parent commanddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.parentCommandInput,Property,AngleValueCommandInput,gets the parent commandinput if this commandinput is the child of a tabcommandinput or groupcommandinput returns null if their is no parentdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.setManipulator,Method,AngleValueCommandInput,defines the position and orientation of the manipulator the manipulator is only visible when both the isvisible and isenabled properties are true if those properties are true and the setmanipulator has not been called the manipulator will be displayed in a default location 000 using default directions x direction 100 and y direction 010 because of that the input is typically set to be invisible andor disabled and then enabled once enough input has been specified that you can display the manipulator in the desired locationdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.toolClipFilename,Property,AngleValueCommandInput,gets or sets the full filename of the image file png used for the tool clip the tooltip is always shown but as the user hovers over the control it will progressively display the tool clip and description textdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.tooltip,Property,AngleValueCommandInput,gets or sets the base tooltip string this is always shown for commands if the tooltip description andor tool clip are also specified then the tooltip will progressively display more information as the user hovers the mouse over the controldefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.tooltipDescription,Property,AngleValueCommandInput,gets or sets additional text to display progressively along with the tooltip the text for the description can contain some basic html formatting tags to format the tags for example the br tag can be used to create multiple paragraphs the tooltip is always shown but as the user hovers over the control it will progressively display the tool clip and description textdefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
AngleValueCommandInput.value,Property,AngleValueCommandInput,gets and sets the current value of the command input the value is in radians but will be displayed to the user in degrees setting this value can fail if the input value is not within the minimum and maximum value range the isvalidexpression property should be checked before using the value within the command because if the expression cant be evaluated there isnt a valid value fusion 360 wont allow the execution of a command that contains valuecommandinput object with invalid expressions so you can dependably use the value in the execute event of the commanddefined in and the header file is adskcoreuserinterfaceanglevaluecommandinputh,False,AngleValueCommandInput
Appearance,Object,,,True,Appearance
Appearances,Object,,,True,Appearances
AppearanceSourceTypes,Enumerator,,,True,AppearanceSourceTypes
Appearances.addByCopy,Method,Appearances,add an appearance to a design by copying an existing appearance from favorites a library or from the appearances stored in the design this method currently only applies to the appearances collection from a design and cannot be used to copy an appearance to a librarydefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.classType,Method,Appearances,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.count,Property,Appearances,the number of materials in the collectiondefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.isValid,Property,Appearances,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.item,Method,Appearances,returns the specified appearance using an index into the collectiondefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.itemById,Method,Appearances,returns the appearance by its internal unique iddefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.itemByName,Method,Appearances,returns the specified appearance using the name as seen in the user interface this often isnt a reliable way of accessing a specific appearance because appearances are not required to be uniquedefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
Appearances.objectType,Property,Appearances,returns a string indicating the type of the objectdefined in and the header file is adskcorematerialsappearancesh,False,AppearanceSourceTypes
AppearanceTexture,Object,,,True,AppearanceTexture
AppearanceTextureProperty,Object,,,True,AppearanceTextureProperty
AppearanceTextureProperty.classType,Method,AppearanceTextureProperty,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.id,Property,AppearanceTextureProperty,returns the unique id of this propertydefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.isReadOnly,Property,AppearanceTextureProperty,indicates if this property is readonly if true any attempted edits will faildefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.isUsed,Property,AppearanceTextureProperty,specifies if this appearancetexture is being used this is the equivalent of the check box in the appearance dialog to enable the use of a text for an appearance or not if this is false then the value property should not be used because there isnt an associated appearancetexturedefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.isValid,Property,AppearanceTextureProperty,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.name,Property,AppearanceTextureProperty,returns the name of this property as seen in the user interface this name is localized and can change based on the current languagedefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.objectType,Property,AppearanceTextureProperty,returns a string indicating the type of the objectdefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.parent,Property,AppearanceTextureProperty,returns the parent of this propertydefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTextureProperty.value,Property,AppearanceTextureProperty,gets and sets this property valuedefined in and the header file is adskcorematerialsappearancetexturepropertyh,False,AppearanceTextureProperty
AppearanceTexture.changeTextureImage,Method,AppearanceTexture,changes the image of this texturedefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
AppearanceTexture.classType,Method,AppearanceTexture,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
AppearanceTexture.isValid,Property,AppearanceTexture,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
AppearanceTexture.objectType,Property,AppearanceTexture,returns a string indicating the type of the objectdefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
AppearanceTexture.properties,Property,AppearanceTexture,returns a collection of the properties associated with this texturedefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
AppearanceTexture.textureType,Property,AppearanceTexture,gets the type of texture this appearance currently isdefined in and the header file is adskcorematerialsappearancetextureh,False,AppearanceTextureProperty
Appearance.appearanceProperties,Property,Appearance,returns the collection of properties that define this appearancedefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.classType,Method,Appearance,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.copyTo,Method,Appearance,copies this appearance to the specified target depricated method use the addbycopymethod on the appearances object instead where you can rename the copied appearance and the return type is appearance rather than booldefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.deleteMe,Method,Appearance,deletes the appearance from the design this method is only valid for appearances that are in a design and are unuseddefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.hasTexture,Property,Appearance,property that indicates if this appearance has a texture associated with itdefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.id,Property,Appearance,the unique internal id of this appearancedefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.isUsed,Property,Appearance,returns true if this appearance is used in the designdefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.isValid,Property,Appearance,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.name,Property,Appearance,returns the name of this appearance this is the localized name shown in the uidefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.objectType,Property,Appearance,returns a string indicating the type of the objectdefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.parent,Property,Appearance,property that returns the parent object of this appearance a materiallibrary design or appearancefavorites collectiondefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Appearance.usedBy,Property,Appearance,returns a collection of the entities currently using this appearance this property is only valid for an appearance in a design and where the isused property returns true the collection returned can containdefined in and the header file is adskcorematerialsappearanceh,False,AppearanceTextureProperty
Application,Object,,,True,Application
ApplicationCommandEvent,Object,,,True,ApplicationCommandEvent
ApplicationCommandEventArgs,Object,,,True,ApplicationCommandEventArgs
ApplicationCommandEventArgs.classType,Method,ApplicationCommandEventArgs,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.commandDefinition,Property,ApplicationCommandEventArgs,returns the commanddefinition object for the command the event is being fired fordefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.commandId,Property,ApplicationCommandEventArgs,returns the unique id of the command the event if being fired fordefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.firingEvent,Property,ApplicationCommandEventArgs,the event that the firing is in response todefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.isCanceled,Property,ApplicationCommandEventArgs,used during the commandstarting event to get or set if the command should be allowed to continue executing or be canceled this defaults to false which will allow the command to execute setting this to true will cancel the command and not begin the execution this property should be ignored for all events besides the commandstarting eventdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.isValid,Property,ApplicationCommandEventArgs,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.objectType,Property,ApplicationCommandEventArgs,returns a string indicating the type of the objectdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventArgs.terminationReason,Property,ApplicationCommandEventArgs,returns the reason the command is being terminated this property should be ignored for all events besides the commandterminated eventdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventargsh,False,ApplicationCommandEventArgs
ApplicationCommandEventHandler,Object,,,True,ApplicationCommandEventHandler
ApplicationCommandEventHandler.notify,Method,ApplicationCommandEventHandler,this notify member is called when an event is triggered from any event that this handler has been added todefined in and the header file is adskcoreuserinterfaceapplicationcommandeventhandlerh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.add,Method,ApplicationCommandEvent,adds an event handler object to this event endpointdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.classType,Method,ApplicationCommandEvent,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.isValid,Property,ApplicationCommandEvent,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.name,Property,ApplicationCommandEvent,the name of the event eg documentopeningdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.objectType,Property,ApplicationCommandEvent,returns a string indicating the type of the objectdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.remove,Method,ApplicationCommandEvent,removes a handler from this event endpointdefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationCommandEvent.sender,Property,ApplicationCommandEvent,the object that is firing the event for example in the case of a command input event this will return the commanddefined in and the header file is adskcoreuserinterfaceapplicationcommandeventh,False,ApplicationCommandEventHandler
ApplicationEvent,Object,,,True,ApplicationEvent
ApplicationEventArgs,Object,,,True,ApplicationEventArgs
ApplicationEventArgs.classType,Method,ApplicationEventArgs,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventArgs.firingEvent,Property,ApplicationEventArgs,the event that the firing is in response todefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventArgs.hasInternetAccess,Property,ApplicationEventArgs,gets if the client computer has access to the internetdefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventArgs.isOffLine,Property,ApplicationEventArgs,gets and sets if fusion 360 is offline or notdefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventArgs.isValid,Property,ApplicationEventArgs,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventArgs.objectType,Property,ApplicationEventArgs,returns a string indicating the type of the objectdefined in and the header file is adskcoreapplicationapplicationeventargsh,False,ApplicationEventArgs
ApplicationEventHandler,Object,,,True,ApplicationEventHandler
ApplicationEventHandler.notify,Method,ApplicationEventHandler,the function called by fusion 360 when the associated event is fireddefined in and the header file is adskcoreapplicationapplicationeventhandlerh,False,ApplicationEventHandler
ApplicationEvent.add,Method,ApplicationEvent,add a handler to be notified when the event occursdefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.classType,Method,ApplicationEvent,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.isValid,Property,ApplicationEvent,indicates if this object is still valid ie hasnt been deleted or some other action done to invalidate the referencedefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.name,Property,ApplicationEvent,the name of the event eg documentopeningdefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.objectType,Property,ApplicationEvent,returns a string indicating the type of the objectdefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.remove,Method,ApplicationEvent,removes a handler from the eventdefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
ApplicationEvent.sender,Property,ApplicationEvent,the object that is firing the event for example in the case of a command input event this will return the commanddefined in and the header file is adskcoreapplicationapplicationeventh,False,ApplicationEventHandler
Application.activeDocument,Property,Application,returns the current active documentdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.activeEditObject,Property,Application,returns the current edit target as seen in the user interface this edit target is defined as the container object that will be added to if something is created for example a component can be an edit target so that when new bodies are created they are added to that component a sketch can also be an edit targetdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.activeProduct,Property,Application,returns the current active productdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.activeViewport,Property,Application,returns the currently active graphics viewdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.cameraChanged,Event,Application,the camerachanged event fires immediately after a change in the camera has been made camera changes happen when user changes the view by rotating zooming in or out panning changing from parallel to perspective or when the extents of the viewport changes you can add or remove event handlers from the cameraeventdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.classType,Method,Application,static function that all classes support that returns the type of the class as a string the returned string matches the string returned by the objecttype property for example if you have a reference to an object and you want to check if its a sketchline you can use myobjectobjecttype fusionsketchlineclasstypedefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.currentUser,Property,Application,returns the user that is currently logged indefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.data,Property,Application,returns the data object which provides access the filesdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentActivated,Event,Application,the documentactivated event fires at the very end of a document being activateddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentActivating,Event,Application,the documentactivating event fires at the very start of a document being activateddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentClosed,Event,Application,the documentclosed event fires at the very end of a document being closed the document object is not longer available because it has been closeddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentClosing,Event,Application,the documentclosing event fires at the very start of a document being closed user can set the issavecanceled property of documenteventargs to true to cancel the document closedefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentCreated,Event,Application,the documentcreated event fires when a new document is createddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentDeactivated,Event,Application,the documentdeactivated event fires at the very end of a document being deactivateddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentDeactivating,Event,Application,the documentdeactivating event fires at the very start of a document being deactivateddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentOpened,Event,Application,the documentopened event fires at the very end of a document being opened so the document object is avialable to be used when a document is opened that references other documents only the toplevel document will cause the documentopened event to be fired you can access the referenced documents by using the documentreferences property of the document objectdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentOpening,Event,Application,the documentopening event fires at the very start of a document being opened there is no promise that the document will be opened hence a documentopened event may not follow when a document is being opened that references other documents only the toplevel document will cause a documentopening event to be fireddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documents,Property,Application,returns the documents collection object which supports accessing opened documents opening existing documents and creating new documentsdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentSaved,Event,Application,the documentsaved event fires after the save operation has been completeddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.documentSaving,Event,Application,the documentsaving event fires at the very start of a document being saved you can set the issavecanceled property of documenteventargs to true to cancel the document savedefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.favoriteAppearances,Property,Application,returns the set of favorite appearancesdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.favoriteMaterials,Property,Application,returns the set of favorite materialsdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.fireCustomEvent,Method,Application,fires a previously registered custom event this method is used by a worker thread or another addin to fire an event to the addin that registered the event and is running in the primary thread firing a custom event does not immediately result in the event handler being called when a custom event is fired the event is put on the queue and will be handled in the main thread when fusion 360 is idledefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.get,Method,Application,access to the root application objectdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.getLastError,Method,Application,returns information about the last error that occurreddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.importManager,Property,Application,returns the importmanager you use the importmanager to import files of various neutral formats into existing components or new documentdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.insertedFromURL,Event,Application,the insertedfromurl event fires after the user has clicked a link in a web page that uses the fusion 360 protocol handler to insert a file as new component and that operation has completeddefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.insertingFromURL,Event,Application,the insertingfromurl event fires when the user has clicked a link in a web page that uses the fusion 360 protocol handler to insert a file as new component this event is fired at the beginning of the request but before fusion 360 has take any action so that its still possible to cancel the operationdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.isOffLine,Property,Application,gets and sets if fusion 360 is offline or notdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
Application.isStartupComplete,Property,Application,boolean property indicating whether fusion 360 has completed its initialization this includes initialization of all the addins loaded at startupdefined in and the header file is adskcoreapplicationapplicationh,False,ApplicationEventHandler
